,prof_after_women_postproc,cat,cat_named,freq,cluster_kmeans_NKRL,cluster_agglomerative_NKRL,cluster_kmeans_Taiga,cluster_agglomerative_Taiga,cluster_kmeans_Wiki,cluster_agglomerative_Wiki
47,кассир,6,"Торговля, заготовки и общественное питание",2754,3.0,3.0,2.0,0.0,3.0,1.0
48,продавец,6,"Торговля, заготовки и общественное питание",2749,3.0,12.0,2.0,0.0,3.0,4.0
49,работник,11,Нераспределенные по отраслям народного хозяйства и неточно указавшие отрасль,2647,11.0,12.0,2.0,1.0,12.0,1.0
50,командир,0,Армия,2628,0.0,0.0,3.0,0.0,6.0,1.0
51,ссыльный,11,Нераспределенные по отраслям народного хозяйства и неточно указавшие отрасль,2414,3.0,0.0,0.0,2.0,9.0,1.0
52,заместитель,10,"Государственные учреждения, партийные и общественные организации",7583,11.0,3.0,9.0,5.0,0.0,1.0
53,военнослужащий,0,Армия,2239,7.0,0.0,3.0,0.0,12.0,1.0
54,сержант,0,Армия,2031,7.0,0.0,3.0,0.0,6.0,1.0
55,врач,9,Здравоохранение,1935,6.0,9.0,5.0,5.0,11.0,1.0
56,лесоруб,3,Лесное хозяйство,1927,3.0,2.0,11.0,1.0,7.0,1.0
57,разнорабочий,1,Промышленность,1899,3.0,5.0,7.0,1.0,3.0,1.0
58,курсант,0,Армия,1898,7.0,0.0,3.0,0.0,9.0,2.0
59,агроном,2,Сельское хозяйство,1896,6.0,2.0,5.0,1.0,10.0,1.0
60,управляющий,10,"Государственные учреждения, партийные и общественные организации",1864,3.0,5.0,9.0,12.0,0.0,1.0
61,дежурный,1,Промышленность,1749,7.0,5.0,3.0,0.0,12.0,1.0
62,охранник,7,Жилищное и коммунальное хозяйство,1717,1.0,5.0,2.0,0.0,12.0,1.0
63,маляр,4,Строительство,1697,5.0,5.0,7.0,1.0,7.0,1.0
64,печник,1,Промышленность,1676,5.0,5.0,6.0,1.0,7.0,1.0
65,повар,6,"Торговля, заготовки и общественное питание",1667,3.0,5.0,2.0,1.0,7.0,1.0
66,экспедитор,5,Транспорт и связь,1643,3.0,3.0,7.0,1.0,3.0,1.0
67,фельдшер,9,Здравоохранение,1616,6.0,9.0,2.0,5.0,12.0,1.0
68,стрелочник,1,Промышленность,1561,3.0,5.0,1.0,1.0,2.0,1.0
69,портной,7,Жилищное и коммунальное хозяйство,1516,3.0,5.0,6.0,1.0,7.0,1.0
70,уполномоченный,11,Нераспределенные по отраслям народного хозяйства и неточно указавшие отрасль,1499,3.0,3.0,9.0,5.0,0.0,1.0
71,руководитель,10,"Государственные учреждения, партийные и общественные организации",1495,11.0,3.0,9.0,5.0,0.0,1.0
72,контролер,1,Промышленность,1462,1.0,3.0,2.0,0.0,3.0,1.0
